Løpende nr,Lagring boksnr-plassnr,Lagring plassnr,PrøveID-(eksternt)-eller-PJS-nummer-(VI-internt),Andre nummer,Bakterie art/stamme,Art (vert),Prosjekt,Prioritert? (Ja/Nei),BESTILLER (epost for svar),"Skal DNA ekstraheres 
(Ja/Nei)",DNA ekstraksjon startdato,"Nanodrop, ng/µL",A260/A280,A260/A230 (2.0-2.2),"Qubit,  ng/µL","DNA ekstraksjon/måling,
link","Library Prep, startdato link (LPååååmmddINITIALER)","MS/NS run # 
link",Dato sekvensert 1.gang,Kommentarer,Faktura,Dato sekvensert 2.gang,Kommentarer 2,DNA ekstrakt kastet (dato) eller sendt,Unnamed: 25,Qubit (gammel)
4328,NGS15,D6,2013-01-5204,20,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,,,,,2.4,147.9,,LP230530-ML-151,#151,,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4329,NGS15,D7,2013-01-5619,21,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,,,,,2.4,117.4,,LP230530-ML-151,#151,,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4330,NGS15,I9,2023-07-94-2,1,Influenza A,,12302-WGS-AI-pilot,No,Cathrine.Arnason.Boe@vetinst.no,,,,,1.8,198,,LP230530-ML-151,#151,,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4331,NGS16,A2,2023-01-4016-1-1-2-1,2,Escherichia coli,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,,,,,1.8,249,,LP230530-ML-151,#151,,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4332,NGS16,A3,2023-01-4661-1-1-2-1,3,Escherichia coli,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,,,,,1.7,182,,LP230530-ML-151,#151,,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4333,NGS16,A4,2023-01-4726-1-1-2-1,4,Escherichia coli,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,,,,,1.9,218,,LP230530-ML-151,#151,,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4334,NGS16,A5,2023-01-4727-1-1-2-1,5,Escherichia coli,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,,,,,1.9,237,,LP230530-ML-151,#151,,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4335,NGS16,A6,2023-01-4728-1-1-2-1,6,Escherichia coli,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,,,,,1.9,291,,LP230530-ML-151,#151,,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4336,NGS16,A7,2023-01-4729-1-1-2-1,7,Escherichia coli,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,,,,,1.9,420,,LP230530-ML-151,#151,,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4337,NGS16,A8,2023-01-4730-1-1-2-1,8,Escherichia coli,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,,,,,2,360,,LP230530-ML-151,#151,,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4338,NGS16,A9,2023-01-4796-1-1-2-1,9,Escherichia coli,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,,,,,1.8,152,,LP230530-ML-151,#151,,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4339,NGS16,B1,2023-01-4954-1-1-1-1,10,Salmonella enterica,,12100-136,No,solveig.mo@vetinst.no,,,,,2.1,228,,LP230530-ML-151,#151,,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4340,NGS16,B2,2023-01-4954-3-1-1-1,11,Salmonella enterica,,12100-136,No,solveig.mo@vetinst.no,,,,,2,258,,LP230530-ML-151,#151,,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4342,NGS14,D3,2011-01-6539,23,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/11/2023,Mangler verdi,1.8,2.4,126,24-14184,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4343,NGS15,D3,2013-01-6039,17,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/19/2023,98,1.8,2.3,82,24-14514,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4344,NGS15,D4,2013-01-6235,18,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/19/2023,235.8,1.8,2.5,186.9,24-14514,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4345,NGS15,D5,2013-01-6368,19,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/19/2023,160.3,1.8,2.4,153.2,24-14514,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4346,NGS15,D8,2013-01-6264,22,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/19/2023,69.9,1.8,2.2,71.3,24-14514,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4347,NGS15,D9,2013-01-6367,23,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/19/2023,182.7,1.8,2.4,188.8,24-14514,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4348,NGS15,E1,2013-01-6603,24,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/19/2023,151.5,1.8,2.5,128.3,24-14514,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4349,NGS15,E3,2013-01-6799,1,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,292.3,1.9,2.4,373.3,24-14606,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4350,NGS15,E4,2013-01-7274,2,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,193.1,1.9,2.4,216,24-14606,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4351,NGS16,A1,2023-01-4505-1-1-2-1,1,Escherichia coli,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,WGS colonies - dish,5/26/2023,395.8,1.8,2.1,440,24-14932,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4352,NGS16,B3,2002-01-1993,1,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,67,1.7,1.3,56,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4353,NGS16,B4,2002-01-2037,2,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,74,1.8,1.3,73,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4354,NGS16,B5,2002-01-2072,3,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,14,1.8,1.2,13,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4355,NGS16,B6,2002-01-2073,4,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,50,1.8,1.6,48,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4356,NGS16,B7,2002-01-2090,5,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,77,1.8,1.2,77,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4357,NGS16,B8,2002-01-2091,6,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,58,1.8,1.5,52,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4358,NGS16,B9,2002-01-2203,8,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,70,1.8,1.6,61,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4359,NGS16,C1,2002-01-2259,9,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,71,1.7,1.2,65,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4360,NGS16,C2,2002-01-2260,10,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,48,1.8,1.6,48,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4361,NGS16,C3,2002-01-2299,12,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,82,1.8,1.3,73,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4362,NGS16,C4,2002-01-2300,13,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,52,1.8,1.6,46,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4363,NGS16,C5,2002-01-2343,14,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,50,1.8,1.3,44,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4364,NGS16,C6,2002-01-2367,16,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,63,1.8,1.5,48,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4365,NGS16,C7,2002-01-2369,17,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,54,1.6,1.2,37,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4366,NGS16,C8,2002-01-2484,20,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,48,1.8,1.2,40,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4367,NGS16,C9,2002-01-2496,21,Enterococcus faecium,,34073-ICONIC,No,anne-margrete.urdahl@vetinst.no,WGS DNA,,82,1.8,1.2,66,,LP230606-RFF-153,#153,6/9/2023,,12/22-CAB,,,Kastet 21.05.2024 WHS,,
4368,NGS16,H3,2023-07-793-kt,1,Influenza A,,12302-WGS-AI-pilot,No,Cathrine.Arnason.Boe@vetinst.no,WGS DNA,,25.4,1.8,1.8,25.4,,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4369,NGS16,H4,2023-07-794-1t,2,Influenza A,,12302-WGS-AI-pilot,No,Cathrine.Arnason.Boe@vetinst.no,WGS DNA,,22.3,1.8,1.8,22.3,,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4370,NGS16,H6,2021-22-1290-1-1-1-1,2,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,38.9,1.9,1.3,24.4,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4371,NGS16,H7,2022-22-55-1-1-1-1,3,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,38.5,1.9,1,22.7,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4372,NGS16,H8,2022-22-62-1-1-1-1,4,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,35.7,1.9,1.3,21.9,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4373,NGS16,I1,2022-22-71-1-1-1-1,6,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,36.2,1.8,1.3,23.2,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4374,NGS16,I4,2022-22-1003-1-1-1-1,9,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,29,1.7,1,18.4,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4375,NGS16,I5,2023-22-20-1-1-1-1,10,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,29.1,1.8,1.3,20.3,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4376,NGS16,I6,2023-22-19-1-1-1-1,11,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,47.2,1.8,1.4,32.7,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4377,NGS16,I9,2023-22-160-1-1-1-1,14,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,33.4,1.8,1.6,24.6,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4378,NGS17,A1,2023-22-159-1-1-1-1,15,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,27.5,1.7,1.2,16.7,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4379,NGS17,A2,2021-22-1150-1-1-1-1,16,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,47.2,1.8,1.6,35.6,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4380,NGS17,A3,2021-22-1152-1-1-1-1,17,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,26.8,1.7,1,16.1,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4381,NGS17,A4,2022-22-600-1-1-1-1,18,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,33,1.8,1.3,22.3,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4382,NGS17,A5,2022-22-601-1-1-1-1,19,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,40.2,1.7,1.3,26.2,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4383,NGS17,A6,2023-22-46-1-1-1-1,20,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,35.1,1.7,1.3,25,,LP230606-RFF-153,#153,6/9/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4384,NGS17,A7,2023-04-18211-1-5-2-1,1,Salmonella enterica,,12100-136,No,solveig.mo@vetinst.no,WGS colonies - dish,6/6/2023,65.8,1.8,1.2,53.1,24-15188,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4385,NGS17,A8,2022-01-4558-2-1-1-1,2,Staphylococcus unknown,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,WGS colonies - dish,6/6/2023,143.3,2.0,2.2,174.5,24-15188,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4386,NGS17,A9,2023-01-670-7-1-1-1,3,Staphyloccocus aureus,,21217-Sta-faar-eus,No,solveig.mo@vetinst.no,WGS colonies - freezer,6/6/2023,113.7,1.9,1.7,84.7,24-13963_24-13997_24-15188,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4387,NGS17,B1,2023-01-672-8-1-1-1,4,Staphyloccocus aureus,,21217-Sta-faar-eus,No,solveig.mo@vetinst.no,WGS colonies - freezer,6/6/2023,101.5,1.9,1.9,107.4,24-14504_24-15188,LP230606-RFF-153,#153,6/9/2023,,06/23-CAB,,,Kastet 21.05.2024 WHS,,
4388,NGS17,B2,2023-01-5226-2-1-1-1,5,Escherichia coli,,21124-APEC-Samvirkekylling,No,camilla.sekse@vetinst.no,WGS colonies - freezer,6/6/2023,48.7,1.9,1.1,50.1,24-15188,LP230606-RFF-153,#153,6/9/2023,,,,,Kastet 21.05.2024 WHS,,
4389,NGS17,B3,2023-01-5226-5-1-1-1,6,Escherichia coli,,21124-APEC-Samvirkekylling,No,camilla.sekse@vetinst.no,WGS colonies - freezer,6/6/2023,74.8,1.8,1,59.6,24-15188,LP230606-RFF-153,#153,6/9/2023,,,,,Kastet 21.05.2024 WHS,,
4390,NGS15,E5,2013-01-8141,3,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,179.3,1.93,2.41,171.6,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4391,NGS15,E6,2016-01-2416,4,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,234.4,1.93,2.43,233.5,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4392,NGS15,E7,2016-01-2432,5,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,150.8,1.94,2.36,155.9,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4393,NGS15,E8,2016-01-2748,6,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,146,1.97,2.34,161.9,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4394,NGS15,E9,2016-01-2831,7,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,224.3,1.95,2.4,178.1,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4395,NGS15,F1,2016-01-2359,8,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,156.1,1.96,2.37,146.1,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4396,NGS15,F2,2016-01-2377,9,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,197.9,1.94,2.65,217,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4397,NGS15,F3,2016-01-2519,10,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,300.5,1.93,2.47,353.1,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4398,NGS15,F4,2016-01-2521,11,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,217.2,1.93,2.45,331.6,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4399,NGS15,F5,2016-01-2522,12,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,359.5,1.93,2.48,306.9,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4400,NGS15,F6,2016-01-2577,13,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,454.9,1.92,2.5,343.4,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4401,NGS15,F7,2016-01-2648,14,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,153.3,1.95,2.23,168.2,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4402,NGS15,F8,2016-01-2662,15,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,185.4,1.94,1.97,205.4,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4403,NGS15,F9,2016-01-2705,16,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,242.8,1.95,2.43,243.6,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4404,NGS15,G1,2016-01-2774,17,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,174.4,1.94,2.35,180.7,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4405,NGS15,G2,2016-01-2801,18,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,61.8,1.95,1.97,61.2,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4406,NGS15,G3,2016-01-2802,19,Campylobacter jejuni,,12306-CampyWGS-pilot,No,kristin.pettersen@vetinst.no,WGS colonies - freezer,5/22/2023,50.2,1.92,1.73,46.6,24-14606,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4407,NGS17,G7,VIO-2038,2038,Phocoenobacter unknown,,32086-FHF-Past-laks,No,Snorre.gulla@vetinst.no,WGS DNA,,20.026,1.76,1.601,21.25,,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4408,NGS17,G8,VIO-11814,11814,Phocoenobacter unknown,,32086-FHF-Past-laks,No,Snorre.gulla@vetinst.no,WGS DNA,,23.577,1.81,1.745,23.24,,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4409,NGS17,G9,VIO-12150,12150,Phocoenobacter unknown,,32086-FHF-Past-laks,No,Snorre.gulla@vetinst.no,WGS DNA,,25.8,1.806,1.684,26.26,,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4410,NGS17,H1,VIO-12172,12172,Phocoenobacter unknown,,32086-FHF-Past-laks,No,Snorre.gulla@vetinst.no,WGS DNA,,13.145,1.767,1.049,7.51,,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4411,NGS17,H2,2022-01-1042-5-1-1-1,1,Escherichia coli,,21177_EDEC2021,No,Erik.Paulshus@vetinst.no,WGS colonies - dish,6/12/2023,43.7,1.98,1.82,97.91,24-15720,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4412,NGS17,H3,2022-01-1836-1-1-1-1,2,Escherichia coli,,21177_EDEC2021,No,Erik.Paulshus@vetinst.no,WGS colonies - dish,6/12/2023,17.3,1.86,1.43,91.83,24-15720,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4413,NGS18,B1,2021-22-1289-1-1-1-1,1,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,22.1,1.91,1.04,11.9,,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4414,NGS18,B2,2022-22-70-1-1-1-1,5,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,32.8,1.74,0.99,19.6,,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4415,NGS18,B3,2022-22-118-1-1-1-1,7,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,25.8,1.75,1.1,16.5,,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4416,NGS18,B4,2022-22-1004-1-1-1-1,8,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,22.6,1.76,1,14.4,,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4417,NGS18,B5,2023-22-45-1-1-1-1,12,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,29,1.66,0.84,15.3,,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4418,NGS18,B6,2023-22-44-1-1-1-1,13,Clostridium unknown,,31209-TEICON,No,camilla.sekse@vetinst.no,WGS DNA,,18.5,1.71,0.96,10.3,,LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4419,NGS18,B7,2018-60-3243-1-1-1-3,1,Pseudomonas aeruginosa,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,WGS colonies - dish,6/13/2023,64.5,2.02,1.6,71.24,"24-15715, 24-15718",LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4420,NGS18,B8,2018-60-4072-1-1-1-2,2,Pseudomonas aeruginosa,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,WGS colonies - dish,6/13/2023,238.8,2.01,2.06,299.4,"24-15715, 24-15718",LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4421,NGS18,B9,2018-60-6063-1-1-1-1,3,Pseudomonas aeruginosa,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,WGS colonies - dish,6/13/2023,133.7,2.01,1.9,161.54,"24-15715, 24-15718",LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4422,NGS18,C1,2018-60-925-1-1-1-2,4,Pseudomonas aeruginosa,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,WGS colonies - dish,6/13/2023,203.6,2.0,1.88,237.93,"24-15715, 24-15718",LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
4423,NGS18,C2,2020-01-3716-2-1-1-2,5,Pseudomonas aeruginosa,,42015-NORM-VET,No,anne-margrete.urdahl@vetinst.no,WGS colonies - dish,6/13/2023,33.5,1.98,1.4,389.68,"24-15715, 24-15718",LP230614-RFF-154,#154,6/15/2023,,08/23-CAB,,,Kastet 21.05.2024 WHS,,
